Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2023-03-17,14.242,15.468421409501952,13.01557859049805
2023-03-20,14.131,15.397356564072286,12.864643435927714
2023-03-21,14.044999999999998,15.307920591744853,12.782079408255143
2023-03-22,13.975999999999999,15.266343079633645,12.685656920366354
2023-03-23,13.870000000000001,15.147481074121018,12.592518925878984
2023-03-24,13.780000000000001,15.067821497928524,12.492178502071479
2023-03-27,13.696000000000002,14.921336044133685,12.470663955866318
2023-03-28,13.6495,14.851891914389824,12.447108085610175
2023-03-29,13.6095,14.770488236034751,12.44851176396525
2023-03-30,13.5905,14.741105790099756,12.439894209900245
2023-03-31,13.526999999999997,14.594118106224483,12.459881893775512
2023-04-03,13.485499999999998,14.418282481554671,12.552717518445325
2023-04-04,13.462,14.341128755314948,12.582871244685052
2023-04-05,13.431999999999999,14.214912242175279,12.649087757824718
2023-04-06,13.395,14.06267467653399,12.72732532346601
2023-04-10,13.382,13.997504927510764,12.766495072489235
2023-04-11,13.4235,14.21360392387766,12.633396076122342
2023-04-12,13.483,14.439949099455099,12.526050900544902
2023-04-13,13.559000000000001,14.655864430523629,12.462135569476374
2023-04-14,13.645,14.87212329411022,12.417876705889778
2023-04-17,13.735499999999998,15.113224668850217,12.35777533114978
2023-04-18,13.862,15.399155267300614,12.324844732699386
2023-04-19,13.95,15.537901627604151,12.362098372395847
2023-04-20,14.045000000000002,15.67086333341641,12.419136666583594
2023-04-24,14.1695,15.807489460797825,12.531510539202174
2023-04-25,14.2915,15.891253599448337,12.691746400551661
2023-04-26,14.392500000000002,15.934868308803233,12.85013169119677
2023-04-27,14.4635,15.932810973498343,12.994189026501656
2023-04-28,14.5395,15.959751645604626,13.119248354395374
2023-05-02,14.582999999999998,15.928246602319875,13.237753397680121
2023-05-03,14.638499999999999,15.839521933276435,13.437478066723562
2023-05-04,14.675999999999998,15.820164139862767,13.53183586013723
2023-05-05,14.751,15.828793066751398,13.6732069332486
2023-05-08,14.84,15.873237120591861,13.806762879408138
2023-05-09,14.941500000000001,15.844157480064467,14.038842519935535
2023-05-10,15.026500000000002,15.81758918919658,14.235410810803424
2023-05-11,15.107499999999998,16.00483816896097,14.210161831039027
2023-05-12,15.209,16.31410585346788,14.103894146532122
2023-05-15,15.287,16.46740314255254,14.10659685744746
2023-05-16,15.377500000000001,16.695981981993935,14.059018018006066
2023-05-17,15.4365,16.80907767491853,14.063922325081469
2023-05-18,15.480500000000001,16.916598149409502,14.0444018505905
2023-05-19,15.553,17.032702672836862,14.07329732716314
2023-05-22,15.610999999999999,17.106789177377095,14.115210822622904
2023-05-23,15.6745,17.237122289951472,14.111877710048528
2023-05-24,15.754000000000001,17.40226415869625,14.105735841303751
2023-05-25,15.836499999999997,17.520158610226556,14.152841389773439
2023-05-26,15.9485,17.631458235088793,14.265541764911205
2023-05-29,16.0435,17.72503157004357,14.361968429956432
2023-05-30,16.1595,17.68524364957259,14.633756350427412
2023-05-31,16.2695,17.55305550594537,14.985944494054634
2023-06-01,16.3945,17.467194099722523,15.321805900277479
2023-06-02,16.4955,17.48358640150681,15.50741359849319
2023-06-05,16.5895,17.560413297663352,15.618586702336652
2023-06-06,16.698999999999998,17.698345048677563,15.699654951322433
2023-06-07,16.837,17.937088034754993,15.736911965245007
2023-06-09,16.991,18.475444251847367,15.506555748152634
2023-06-12,17.136,19.0018527047412,15.270147295258797
2023-06-13,17.294,19.38036071968204,15.207639280317958
2023-06-14,17.474,19.929476371404725,15.018523628595275
2023-06-15,17.65,20.24858260960624,15.051417390393759
2023-06-16,17.830000000000002,20.553890406636995,15.106109593363009
2023-06-19,18.0325,20.921585632077097,15.143414367922901
2023-06-20,18.2495,21.228581278374016,15.270418721625987
2023-06-21,18.490000000000002,21.696710070100647,15.283289929899357
2023-06-22,18.704,22.038271166316115,15.369728833683888
2023-06-23,18.881,22.162892265463014,15.599107734536984
2023-06-26,19.07,22.33353376443077,15.80646623556923
2023-06-27,19.254,22.425553828048844,16.082446171951158
2023-06-28,19.457500000000003,22.470914744281544,16.444085255718463
2023-06-29,19.674,22.427962886269192,16.920037113730807
2023-06-30,19.8135,22.289203196223298,17.337796803776705
2023-07-03,19.964499999999997,22.130947249348875,17.79805275065112
2023-07-04,20.1085,21.922634852528525,18.294365147471474
2023-07-05,20.233,21.6858679441569,18.7801320558431
2023-07-06,20.315499999999997,21.470160578972184,19.16083942102781
2023-07-07,20.3485,21.404874634503244,19.29212536549676
2023-07-10,20.3665,21.377602056382965,19.35539794361703
2023-07-11,20.3765,21.352793204449075,19.400206795550925
2023-07-12,20.345,21.372362489198107,19.31763751080189
2023-07-13,20.353,21.365201352966977,19.340798647033026
2023-07-14,20.333000000000002,21.39100407918862,19.274995920811385
2023-07-17,20.285,21.396840579258114,19.173159420741886
2023-07-18,20.226499999999998,21.390454692553188,19.062545307446808
2023-07-19,20.133499999999998,21.16928650513092,19.097713494869076
2023-07-20,20.055,20.98280442585298,19.12719557414702
2023-07-21,20.0385,20.957407245763456,19.119592754236542
2023-07-24,20.02,20.888731682881946,19.151268317118053
2023-07-25,20.033499999999997,20.948642209254213,19.11835779074578
2023-07-26,20.037,20.96524905913783,19.10875094086217
2023-07-27,19.982,20.8182472563094,19.145752743690597
2023-07-28,19.99,20.826005540148323,19.153994459851674
2023-07-31,20.025,20.962780133585778,19.08721986641422
2023-08-01,20.04,21.006796119584113,19.073203880415885
2023-08-02,20.054499999999997,21.045479844715505,19.06352015528449
2023-08-03,20.097500000000004,21.14773055113014,19.047269448869866
2023-08-04,20.1145,21.160906884735496,19.068093115264503
2023-08-07,20.136000000000003,21.183250032981498,19.088749967018508
2023-08-08,20.172,21.198195836445286,19.145804163554715
2023-08-09,20.2155,21.223916684970607,19.20708331502939
2023-08-10,20.249,21.26754178530969,19.23045821469031
2023-08-11,20.3,21.27887153073578,19.32112846926422
2023-08-14,20.3555,21.277134132226564,19.433865867773434
2023-08-15,20.424,21.255217243122374,19.592782756877625
2023-08-16,20.5065,21.32497804844741,19.68802195155259
2023-08-17,20.5845,21.34667072269087,19.822329277309127
2023-08-18,20.6465,21.410210471455866,19.882789528544134
2023-08-21,20.680500000000002,21.462090147005167,19.898909852994837
2023-08-22,20.705000000000002,21.542929779749052,19.86707022025095
